article_number,consolidated_price,master_price,price_difference,price_difference_pct,has_discrepancy
22193,4.3,4.3,0.0,0.0,False
1549438,32.83,51.46,-18.630000000000003,-36.20287602020988,True
1604635,96.0,131.92,-35.91999999999999,-27.22862340812613,True
1637117,54.84,64.64,-9.799999999999997,-15.160891089108908,True
1584289,30.0,29.13,0.870000000000001,2.986611740473742,True
1599004,49.25,77.18,-27.930000000000007,-36.18813164032133,True
8761656,18.5,30.51,-12.010000000000002,-39.36414290396591,True
74550,28.75,28.75,0.0,0.0,False
1751653,27.92,27.36,0.5600000000000023,2.0467836257310026,True
1601543,57.2,55.48,1.720000000000006,3.1002162941600684,True
1571219,34.55,54.14,-19.590000000000003,-36.18396749168822,True
1603909,69.0,107.19,-38.19,-35.62832353764344,True
23647,43.66,51.64,-7.980000000000004,-15.453137103020923,True
25134,3.85,3.85,0.0,0.0,False
25700,9.9,9.9,0.0,0.0,False
1624345,30.0,29.49,0.5100000000000016,1.7293997965412058,True
1700673,78.81,91.0,-12.189999999999998,-13.395604395604394,True
22723,14.0,10.21,3.789999999999999,37.120470127326136,True
1496491,24.75,34.92,-10.170000000000002,-29.12371134020619,True
1735199,6.16,5.98,0.17999999999999972,3.0100334448160484,True
1528484,37.23,55.87,-18.64,-33.36316448899231,True
22171,4.3,4.3,0.0,0.0,False
1708117,41.72,41.72,0.0,0.0,False
1613693,135.07,135.07,0.0,0.0,False
1535610,32.59,51.07,-18.479999999999997,-36.18562757000195,True
1691495,60.0,58.72,1.2800000000000011,2.1798365122615824,True
1736372,13.72,21.5,-7.779999999999999,-36.18604651162791,True
1499912,54.32,61.69,-7.369999999999997,-11.946830928837732,True
1626689,43.12,67.58,-24.46,-36.19414027818881,True
1619066,68.8,66.74,2.0600000000000023,3.0866047347917327,True
1558613,23.47,27.89,-4.420000000000002,-15.847974184295452,True
1549016,96.0,105.54,-9.540000000000006,-9.039226833428089,True
1560848,46.65,54.21,-7.560000000000002,-13.94576646375208,True
1550411,84.60000000000001,116.25,-31.64999999999999,-27.225806451612893,True
29257,3.15,3.15,0.0,0.0,False
1657279,44.4,43.07,1.3299999999999983,3.087996285117247,True
28284,8.45,8.45,0.0,0.0,False
23226,8.78,8.78,0.0,0.0,False
21489,3.74,3.74,0.0,0.0,False
23494,5.27,5.27,0.0,0.0,False
1525858,36.26,56.83,-20.57,-36.195671300369526,True
1644380,39.74,45.5,-5.759999999999998,-12.659340659340653,True
24267,5.850000000000001,5.85,1.7763568394002505e-15,3.036507417778206e-14,False
1554455,44.84,70.27,-25.429999999999993,-36.18898534225131,True
1698946,19.84,23.58,-3.7399999999999984,-15.860899067005931,True
21284,9.5,9.5,0.0,0.0,False
1589397,43.78,43.78,0.0,0.0,False
1693290,100.88,143.17,-42.28999999999999,-29.53831109869386,True
1536355,56.18,63.8,-7.619999999999997,-11.943573667711595,True
1604696,64.8,89.05,-24.25,-27.231892195395847,True
1709316,50.3,50.3,0.0,0.0,False
1538536,56.18,63.8,-7.619999999999997,-11.943573667711595,True
960604,3.5,3.5,0.0,0.0,False
1529038,22.5,37.1,-14.600000000000001,-39.353099730458226,True
1522409,15.73,18.69,-2.960000000000001,-15.83734617442483,True
23236,16.26,16.26,0.0,0.0,False
1717239,78.65,78.87,-0.21999999999999886,-0.27894002789400135,True
6971443,46.34,53.62,-7.279999999999994,-13.577023498694507,True
28577,8.45,8.45,0.0,0.0,False
6497728,46.34,51.13,-4.789999999999999,-9.36827694113045,True
29076,6.73,6.73,0.0,0.0,False
20855,19.01,22.82,-3.8099999999999987,-16.69588080631025,True
1742486,26.4,31.37,-4.970000000000002,-15.843162256933383,True
1607612,37.23,43.88,-6.650000000000006,-15.154968094804023,True
1547160,69.75,120.28,-50.53,-42.01030927835052,True
1535993,46.02,53.47,-7.449999999999996,-13.933046568169058,True
1582880,44.8,43.46,1.3399999999999963,3.0832949838932264,True
1689455,42.63,66.82,-24.18999999999999,-36.20173600718346,True
1593594,46.34,53.62,-7.279999999999994,-13.577023498694507,True
1631622,49.05,87.69,-38.64,-44.064317482039,True
1652337,36.75,59.14,-22.39,-37.85931687521136,True
1494754,17.56,36.2,-18.640000000000004,-51.49171270718232,True
1638544,70.0,85.52,-15.519999999999996,-18.14780168381665,True
1582883,56.0,56.26,-0.259999999999998,-0.4621400639886207,True
80134,23.4,23.4,0.0,0.0,False
1453836,27.72,31.48,-3.7600000000000016,-11.9440914866582,True
1747217,38.4,37.25,1.1499999999999986,3.087248322147647,True
1631532,58.0,56.36,1.6400000000000006,2.9098651525904904,True
1569516,58.5,64.31,-5.810000000000002,-9.034364795521695,True
1572676,27.93,43.78,-15.850000000000001,-36.20374600274098,True
1597228,61.74,96.77,-35.029999999999994,-36.199235300196335,True
1689331,35.77,56.06,-20.29,-36.19336425258651,True
1689895,8.33,13.06,-4.73,-36.21745788667688,True
