article_number,price,source
1655413,56.0,Both (Tabelle1 priority)
1655415,56.0,Both (Tabelle1 priority)
1655418,56.0,Both (Tabelle1 priority)
1655521,81.2,Both (Tabelle1 priority)
1655641,71.4,Both (Tabelle1 priority)
1655697,71.4,Both (Tabelle1 priority)
1655718,71.4,Both (Tabelle1 priority)
1655753,58.8,Both (Tabelle1 priority)
1655766,81.2,Both (Tabelle1 priority)
1655805,81.2,Both (Tabelle1 priority)
1655831,62.3,Both (Tabelle1 priority)
1655995,84.0,Both (Tabelle1 priority)
1656009,71.4,Both (Tabelle1 priority)
1659088,39.92,Both (Tabelle1 priority)
1659106,39.92,Both (Tabelle1 priority)
1661003,49.28,Both (Tabelle1 priority)
1661704,51.97,Both (Tabelle1 priority)
1661707,36.47,Both (Tabelle1 priority)
1661738,39.21,Both (Tabelle1 priority)
1662693,50.63,Both (Tabelle1 priority)
1662811,39.38,Both (Tabelle1 priority)
1663135,39.21,Both (Tabelle1 priority)
1663380,124.88,Both (Tabelle1 priority)
1664037,137.35,Both (Tabelle1 priority)
1664374,137.35,Both (Tabelle1 priority)
1664744,124.88,Both (Tabelle1 priority)
1664929,70.37,Both (Tabelle1 priority)
1664990,124.88,Both (Tabelle1 priority)
1665110,70.37,Both (Tabelle1 priority)
1665143,70.37,Both (Tabelle1 priority)
1666290,104.63,Both (Tabelle1 priority)
1666439,70.37,Both (Tabelle1 priority)
1666469,137.35,Both (Tabelle1 priority)
1666587,137.35,Both (Tabelle1 priority)
1666605,118.12,Both (Tabelle1 priority)
1666646,116.22,Both (Tabelle1 priority)
1671746,70.4,Both (Tabelle1 priority)
1671747,70.4,Both (Tabelle1 priority)
1672227,19.2,Both (Tabelle1 priority)
1674056,30.495,Both (Tabelle1 priority)
1675772,40.67,Both (Tabelle1 priority)
1675773,40.67,Both (Tabelle1 priority)
1675952,47.04,Both (Tabelle1 priority)
1675953,47.04,Both (Tabelle1 priority)
1676365,63.2,Both (Tabelle1 priority)
1676430,76.0,Both (Tabelle1 priority)
1676431,76.0,Both (Tabelle1 priority)
1676438,79.6,Both (Tabelle1 priority)
1676439,79.6,Both (Tabelle1 priority)
1682474,36.47,Both (Tabelle1 priority)
1689026,30.78,Both (Tabelle1 priority)
1691236,25.724999999999998,Both (Tabelle1 priority)
1691237,21.315,Both (Tabelle1 priority)
1691422,59.92,Tabelle1
1691423,59.92,Tabelle1
1691443,63.92,Tabelle1
1691444,63.92,Tabelle1
1691446,63.92,Tabelle1
1691611,37.18,Tabelle1
1691629,33.45,Tabelle1
1691639,33.45,Tabelle1
1691641,33.45,Tabelle1
1691669,29.73,Tabelle1
1694596,73.8,Both (Tabelle1 priority)
1694600,60.0,Both (Tabelle1 priority)
1694662,93.0,Both (Tabelle1 priority)
1694664,93.0,Both (Tabelle1 priority)
1694802,19.6,Both (Tabelle1 priority)
1694804,19.6,Both (Tabelle1 priority)
1694808,18.400000000000002,Both (Tabelle1 priority)
1694810,16.8,Both (Tabelle1 priority)
1694811,20.8,Both (Tabelle1 priority)
1694812,20.8,Both (Tabelle1 priority)
1694829,20.8,Both (Tabelle1 priority)
1694830,20.0,Both (Tabelle1 priority)
1694831,20.0,Both (Tabelle1 priority)
1694845,44.0,Both (Tabelle1 priority)
1694879,10.0,Both (Tabelle1 priority)
1694883,10.0,Both (Tabelle1 priority)
1694886,10.0,Both (Tabelle1 priority)
1694889,10.0,Both (Tabelle1 priority)
1694893,10.0,Both (Tabelle1 priority)
1694905,19.6,Both (Tabelle1 priority)
1694906,19.6,Both (Tabelle1 priority)
1694908,19.6,Both (Tabelle1 priority)
1695051,22.5,Both (Tabelle1 priority)
1695052,22.5,Both (Tabelle1 priority)
1695870,33.0,Both (Tabelle1 priority)
1695871,33.0,Both (Tabelle1 priority)
1695979,35.5,Both (Tabelle1 priority)
1695980,35.5,Both (Tabelle1 priority)
1695981,35.5,Both (Tabelle1 priority)
1696140,33.705000000000005,Both (Tabelle1 priority)
1696141,35.31,Both (Tabelle1 priority)
1696223,32.800000000000004,Both (Tabelle1 priority)
1696226,32.800000000000004,Both (Tabelle1 priority)
1696369,35.2,Both (Tabelle1 priority)
1696370,35.2,Both (Tabelle1 priority)
1696371,35.2,Both (Tabelle1 priority)
1696874,43.49,Both (Tabelle1 priority)
1696986,41.58,Both (Tabelle1 priority)
1697026,43.49,Both (Tabelle1 priority)
1697303,46.34,Both (Tabelle1 priority)
1697325,51.97,Both (Tabelle1 priority)
1697438,46.34,Both (Tabelle1 priority)
1698085,65.26,Both (Tabelle1 priority)
1698304,51.97,Both (Tabelle1 priority)
1698946,19.84,Both (Tabelle1 priority)
1699063,19.84,Both (Tabelle1 priority)
1699440,46.65,Both (Tabelle1 priority)
1699448,43.49,Both (Tabelle1 priority)
1699583,26.4,Both (Tabelle1 priority)
1699659,24.53,Both (Tabelle1 priority)
1699690,102.13,Both (Tabelle1 priority)
1699800,79.08,Both (Tabelle1 priority)
1699996,43.66,Both (Tabelle1 priority)
1700294,130.3,Both (Tabelle1 priority)
1700336,29.07,Both (Tabelle1 priority)
1700349,29.07,Both (Tabelle1 priority)
1700368,98.52,Both (Tabelle1 priority)
1700444,36.47,Both (Tabelle1 priority)
1700660,41.69,Both (Tabelle1 priority)
1700677,39.21,Both (Tabelle1 priority)
1700806,39.21,Both (Tabelle1 priority)
1700814,50.15,Both (Tabelle1 priority)
1700894,41.69,Both (Tabelle1 priority)
1700920,41.69,Both (Tabelle1 priority)
1701083,26.4,Both (Tabelle1 priority)
1701268,46.34,Both (Tabelle1 priority)
1701345,36.7,Both (Tabelle1 priority)
1701563,50.15,Both (Tabelle1 priority)
1701606,43.66,Both (Tabelle1 priority)
1701630,39.21,Both (Tabelle1 priority)
1701932,137.35,Both (Tabelle1 priority)
1701998,102.13,Both (Tabelle1 priority)
1702012,70.37,Both (Tabelle1 priority)
1702029,97.87,Both (Tabelle1 priority)
1702060,137.35,Both (Tabelle1 priority)
1702078,102.13,Both (Tabelle1 priority)
1702122,130.3,Both (Tabelle1 priority)
1702134,70.37,Both (Tabelle1 priority)
1702151,70.37,Both (Tabelle1 priority)
1702165,131.63,Both (Tabelle1 priority)
1702202,102.13,Both (Tabelle1 priority)
1702206,102.13,Both (Tabelle1 priority)
1702253,118.12,Both (Tabelle1 priority)
1702278,98.52,Both (Tabelle1 priority)
1703389,79.6,Both (Tabelle1 priority)
1703674,52.720000000000006,Both (Tabelle1 priority)
1703680,66.0,Both (Tabelle1 priority)
1703713,43.92,Both (Tabelle1 priority)
1703718,43.92,Both (Tabelle1 priority)
1703719,43.92,Both (Tabelle1 priority)
1703743,62.4,Both (Tabelle1 priority)
1703751,66.0,Both (Tabelle1 priority)
1703752,66.0,Both (Tabelle1 priority)
1703790,63.6,Both (Tabelle1 priority)
1703791,63.6,Both (Tabelle1 priority)
1703797,63.6,Both (Tabelle1 priority)
1703801,63.6,Both (Tabelle1 priority)
1703810,63.6,Both (Tabelle1 priority)
1703811,63.6,Both (Tabelle1 priority)
1703819,59.6,Both (Tabelle1 priority)
1703821,59.6,Both (Tabelle1 priority)
1703838,68.0,Both (Tabelle1 priority)
1703985,62.15,Both (Tabelle1 priority)
1704011,71.5,Both (Tabelle1 priority)
1704018,62.15,Both (Tabelle1 priority)
1704026,66.55,Both (Tabelle1 priority)
1704027,66.55,Both (Tabelle1 priority)
1705113,70.4,Both (Tabelle1 priority)
1705143,78.1,Both (Tabelle1 priority)
1705513,24.750000000000004,Both (Tabelle1 priority)
1705514,24.750000000000004,Both (Tabelle1 priority)
1707222,63.2,Both (Tabelle1 priority)
1707231,66.0,Both (Tabelle1 priority)
1707853,26.705,Both (Tabelle1 priority)
1707854,22.54,Both (Tabelle1 priority)
1707855,22.54,Both (Tabelle1 priority)
1707857,26.705,Both (Tabelle1 priority)
1707860,22.54,Both (Tabelle1 priority)
1708039,33.075,Both (Tabelle1 priority)
1708040,33.075,Both (Tabelle1 priority)
1708769,70.315,Both (Tabelle1 priority)
1708770,70.315,Both (Tabelle1 priority)
1708772,70.315,Both (Tabelle1 priority)
1708774,70.315,Both (Tabelle1 priority)
1708789,53.41,Both (Tabelle1 priority)
1708791,53.41,Both (Tabelle1 priority)
1708795,53.41,Both (Tabelle1 priority)
1708796,53.41,Both (Tabelle1 priority)
1708821,51.205,Both (Tabelle1 priority)
1708823,51.205,Both (Tabelle1 priority)
1708827,61.985,Both (Tabelle1 priority)
1708828,61.985,Both (Tabelle1 priority)
1708831,61.985,Both (Tabelle1 priority)
1708832,61.985,Both (Tabelle1 priority)
1708892,42.63,Both (Tabelle1 priority)
1708893,42.63,Both (Tabelle1 priority)
1708901,49.245,Both (Tabelle1 priority)
1708902,49.245,Both (Tabelle1 priority)
1708906,49.245,Both (Tabelle1 priority)
1708907,49.245,Both (Tabelle1 priority)
1710488,35.525,Both (Tabelle1 priority)
1710825,57.2,Both (Tabelle1 priority)
1710826,57.2,Both (Tabelle1 priority)
1710893,79.95,Both (Tabelle1 priority)
1711184,57.2,Both (Tabelle1 priority)
1711241,94.9,Both (Tabelle1 priority)
1711283,48.95,Both (Tabelle1 priority)
1711284,48.95,Both (Tabelle1 priority)
1712563,46.92,Both (Tabelle1 priority)
1712830,50.8,Both (Tabelle1 priority)
1712832,50.8,Both (Tabelle1 priority)
1712841,50.8,Both (Tabelle1 priority)
1713069,110.8,Both (Tabelle1 priority)
1713098,88.0,Both (Tabelle1 priority)
1713786,53.52,Both (Tabelle1 priority)
1713787,53.52,Both (Tabelle1 priority)
1713788,53.52000000000001,Both (Tabelle1 priority)
1713789,53.52,Both (Tabelle1 priority)
1713827,44.63,Tabelle1
1713828,37.18,Tabelle1
1713868,44.9,Both (Tabelle1 priority)
1713869,44.9,Both (Tabelle1 priority)
1713964,79.92,Tabelle1
1713967,79.92,Tabelle1
1713975,71.92,Tabelle1
1713976,71.92,Tabelle1
1713979,71.92,Tabelle1
1713985,67.92,Tabelle1
1714385,66.0,Both (Tabelle1 priority)
1714401,75.6,Both (Tabelle1 priority)
1714405,69.2,Both (Tabelle1 priority)
1714408,69.2,Both (Tabelle1 priority)
1714410,69.2,Both (Tabelle1 priority)
1714413,86.8,Both (Tabelle1 priority)
1714417,69.2,Both (Tabelle1 priority)
1714422,75.6,Both (Tabelle1 priority)
1714423,69.2,Both (Tabelle1 priority)
1714425,69.2,Both (Tabelle1 priority)
1714476,55.92,Both (Tabelle1 priority)
1714477,55.92,Both (Tabelle1 priority)
1714479,55.92,Both (Tabelle1 priority)
1714482,68.0,Both (Tabelle1 priority)
1714484,68.0,Both (Tabelle1 priority)
1714590,60.0,Both (Tabelle1 priority)
1714631,44.0,Both (Tabelle1 priority)
1715021,41.58,Both (Tabelle1 priority)
1715207,41.58,Both (Tabelle1 priority)
1716069,43.66,Both (Tabelle1 priority)
1716325,25.81,Both (Tabelle1 priority)
1716392,25.81,Both (Tabelle1 priority)
1716673,26.4,Both (Tabelle1 priority)
1716681,36.7,Both (Tabelle1 priority)
1716696,31.73,Both (Tabelle1 priority)
1717640,137.35,Both (Tabelle1 priority)
1717676,32.0,Both (Tabelle1 priority)
1717677,61.72,Both (Tabelle1 priority)
1717684,25.81,Both (Tabelle1 priority)
1717842,25.81,Both (Tabelle1 priority)
1717903,25.81,Both (Tabelle1 priority)
1717942,39.38,Both (Tabelle1 priority)
1718023,137.35,Both (Tabelle1 priority)
1718108,39.7,Both (Tabelle1 priority)
1718122,26.4,Both (Tabelle1 priority)
1718244,25.81,Both (Tabelle1 priority)
1718279,32.0,Both (Tabelle1 priority)
1718294,25.81,Both (Tabelle1 priority)
1718405,26.4,Both (Tabelle1 priority)
1718443,33.26,Both (Tabelle1 priority)
1718542,39.38,Both (Tabelle1 priority)
1718810,39.38,Both (Tabelle1 priority)
1718815,33.26,Both (Tabelle1 priority)
1718940,49.28,Both (Tabelle1 priority)
1718946,36.7,Both (Tabelle1 priority)
1719419,54.32,Both (Tabelle1 priority)
1719421,46.34,Both (Tabelle1 priority)
1719512,49.28,Both (Tabelle1 priority)
1719573,67.22,Both (Tabelle1 priority)
1719759,151.44,Both (Tabelle1 priority)
1719818,50.15,Both (Tabelle1 priority)
1719875,36.7,Both (Tabelle1 priority)
1719952,39.21,Both (Tabelle1 priority)
1719969,39.7,Both (Tabelle1 priority)
1720069,61.72,Both (Tabelle1 priority)
1720076,79.94,Both (Tabelle1 priority)
1720235,43.66,Both (Tabelle1 priority)
1720334,33.26,Both (Tabelle1 priority)
1720360,111.38,Both (Tabelle1 priority)
1720453,39.38,Both (Tabelle1 priority)
1720494,98.52,Both (Tabelle1 priority)
